Title,release_year,IMDb
El club de los buenos infieles,2018,5.5
Enissa Amani: Ehrenwort,2018,5.3
F.R.E.D.I.,2018,5
Fakkah Fuzz: Almost Banned,2018,4
Family Blood,2018,4.2
Fary Is the New Black,2018,5.9
Father of the Year,2018,5.2
Fishtronaut: The Movie,2018,5.5
Flock of Four,2018,6
Forgive Us Our Debts,2018,6
Fronteras,2018,4.2
"Game Over, Man!",2018,5.4
Gemini,2018,5.4
Gnome Alone,2018,5.6
God Bless the Broken Road,2018,5.5
God's Not Dead: A Light in Darkness,2018,4.5
Going for Gold,2018,4.7
Goosebumps 2: Haunted Halloween,2018,5.6
Happy Anniversary,2018,5.7
Harith Iskander: I Told You So,2018,4.5
He's Out There,2018,5.2
Head Count,2018,5.3
High Society,2018,5.3
Hold the Dark,2018,5.6
Holly Star,2018,5.1
Honey: Rise Up and Dance,2018,5.1
Hope Springs Eternal,2018,4.7
How It Ends,2018,5
I Am Vengeance,2018,4.3
Ibiza,2018,5.2
Illang: The Wolf Brigade,2018,6
In Darkness,2018,5.8
Jani Dueñas: Grandes fracasos de ayer y hoy,2018,4.9
Jefe,2018,5.4
Jonathan,2018,5.9
King of Boys,2018,5.6
Lady-Like,2018,6
Lez Bomb,2018,5
Lifechanger,2018,5.4
Lilli,2018,5.8
Lionheart,2018,5.6
Malena Pichot: Estupidez compleja,2018,5.4
Malevolent,2018,4.8
Malicious,2018,5
Mauli,2018,6
May the Devil Take You,2018,6
Merry Men: The Real Yoruba Demons,2018,6
Moms at War,2018,5.5
Mr. Chandramouli,2018,5.2
Mute,2018,5.4
My Birthday Song,2018,5.5
My Perfect Romance,2018,4.6
"My Teacher, My Obsession",2018,4.4
Never Heard,2018,5.2
New Money,2018,4.8
Next Enti?,2018,4.6
Nothing to Lose,2018,5.5
Occupation,2018,5.1
Only Mine,2018,4.7
"Out of Many, One",2018,5.3
Paper Year,2018,5.1
Perdida,2018,5.6
Pierre Jackson,2018,6
Postcards from London,2018,5
Professor Mack,2018,4.2
Psychokinesis,2018,5.9
Pup Star: World Tour,2018,4.2
Puppy Star Christmas,2018,4
Rajma Chawal,2018,5.8
Revenger,2018,5.7
Right Here Right Now,2018,5.6
Rise: Ini Kalilah,2018,5
Robin Hood: The Rebellion,2018,4.4
Sabrina,2018,4.2
Sara's Notebook,2018,5.9
Savita Damodar Paranjpe,2018,6
Sei,2018,4.2
Seth Rogen's Hilarity for Charity,2018,5
Seven in Heaven,2018,5.3
Social Animals,2018,5.2
Sprinter,2018,6
St. Agatha,2018,5.2
Step Sisters,2018,5.4
Suzzanna: Buried Alive,2018,5.6
Target,2018,4
The 3rd Eye,2018,5.1
The After Party,2018,5.8
The Breaker Upperers,2018,5.9
The Cloverfield Paradox,2018,5.5
The Debt Collector,2018,5.7
The Feels,2018,5.1
The Golem,2018,5.6
The Holiday Calendar,2018,5.7
The Hurricane Heist,2018,5.1
The Laws of Thermodynamics,2018,6
The Legacy of a Whitetail Deer Hunter,2018,5.5
The Little Mermaid,2018,4.2
The Most Assassinated Woman in the World,2018,5.3
The New Romantic,2018,5.7
The Nutcracker and the Four Realms,2018,5.5
The Package,2018,5.5
The Plagues of Breslau,2018,5.7
The Polka King,2018,5.9
The Princess Switch,2018,6
The Skin of the Wolf,2018,5.7
The Titan,2018,4.8
The Warning,2018,5.9
The Week Of,2018,5.1
The Witch Files,2018,4.4
Time Share,2018,6
Tinker',2018,5.1
"To Each, Her Own",2018,5.2
Todd Glass: Act Happy,2018,5
Twinsanity,2018,4.1
Under the Eiffel Tower,2018,5.1
Viking Destiny,2018,4.2
Vodka Diaries,2018,5.6
W/O Ram,2018,5.9
Weapon of Choice,2018,4.4
When Angels Sleep,2018,5.4
White Chamber,2018,4.4
Wildling,2018,5.5
Yoo Byung Jae: Discomfort Zone,2018,4.8
Yucatán,2018,5.4
Zero,2018,5.5
706,2019,5.3
3022,2019,4.5
15-Aug,2019,5.8
A Christmas Prince: The Royal Baby,2019,5.3
A Cinderella Story: Christmas Wish,2019,5.2
A Remarkable Tale,2019,5.2
Adam Devine: Best Time of Our Lives,2019,5.8
After,2019,5.4
After Maria,2019,4.4
After the Raid,2019,4.2
American Hangman,2019,5.9
American Son,2019,5.6
Arctic Dogs,2019,4.5
Assimilate,2019,5.3
Awake,2019,5
Back of the Net,2019,5
Backdraft 2,2019,4.8
Badland,2019,5.7
Bayonet,2019,5.8
Bennett's War,2019,5.5
"Berlin, I Love You",2019,4.6
Burning Cane,2019,5.5
Bypass Road,2019,5.4
Close,2019,5.7
Dark Light,2019,4.2
Dead Kids,2019,5.5
Deadly Switch,2019,4.5
Despite Everything,2019,5.3
Dolphin Kick,2019,4.4
Earthquake Bird,2019,5.9
Eerie,2019,4.7
Ek Ladki Ko Dekha Toh Aisa Laga,2019,5.5
Eli,2019,5.7
Every Time I Die,2019,5
Falling Inn Love,2019,5.6
Firebrand,2019,5.1
Fittest in Dubai,2019,6
Francesco De Carlo: Cose di Questo Mondo,2019,5.7
Freshman Year,2019,5.9
Full Count,2019,5.5
Furie,2019,5.8
Ghosts of Sugar Land,2019,5.5
Girl on the Third Floor,2019,4.6
Good Sam,2019,5.6
"Hello, Privilege. It's Me, Chelsea",2019,4.1
Holiday Rush,2019,4.8
Hot Gimmick: Girl Meets Boy,2019,4.4
In the Tall Grass,2019,5.4
Inside Man: Most Wanted,2019,5.6
IO,2019,4.7
Jenny Slate: Stage Fright,2019,5.8
Juanita,2019,5.9
Kaake Da Viyah,2019,5.1
Katherine Ryan: Glitter Room,2019,6
"Ken Jeong: You Complete Me, Ho",2019,5.7
Kevin Hart's Guide to Black History,2019,5.4
Kidnapping Stella,2019,4.8
Let It Snow,2019,5.8
Love Dot Com: The Social Experiment,2019,4.2
Loving is Losing,2019,5.2
Luckee,2019,4.2
Made in China,2019,5.7
Malaal,2019,5.9
Maria,2019,5
Mercy Black,2019,4.9
Mike Epps: Only One Mike,2019,4.9
Misfit 2,2019,5.6
Motichoor Chaknachoor,2019,5.8
Murder Mystery,2019,6
Noblemen,2019,5.8
"Oh, Ramona!",2019,4.9
One Day: Justice Delivered,2019,5.6
Otherhood,2019,6
Paharganj,2019,5.6
Paris Is Us,2019,4.6
Park Na-rae: Glamour Warning,2019,4.7
Patria,2019,6
Point Blank,2019,5.7
Pokémon: Mewtwo Strikes Back - Evolution,2019,5.7
Polaroid,2019,5.1
Pranaam,2019,4.3
Rakkhosh,2019,4.7
Rattlesnake,2019,4.6
Ready to Mingle,2019,5.9
Revenge of the Pontianak,2019,5.2
Rim of the World,2019,5.1
Santa Girl,2019,5
Saverio Raimondo: Il Satiro Parlante,2019,5.9
Saving Zoë,2019,5.2
Secret Obsession,2019,4.3
See You Yesterday,2019,5.1
Sextuplets,2019,4.4
Shanghai Fortress,2019,4.3
Spirit Riding Free: Spirit of Christmas,2019,6
Stunt School,2019,4.4
Submission,2019,5.6
Summer Night,2019,4.6
Super Monsters Save Christmas,2019,4.4
Super Monsters: Vida's First Halloween,2019,5.9
Sweetheart,2019,5.7
Tall Girl,2019,5.2
The 3rd Eye 2,2019,5.5
The Body,2019,5.4
The Brave,2019,5
The Car: Road to Revenge,2019,4
The First Temptation of Christ,2019,4.6
The Ghost Who Walks,2019,5.2
