Title,type,country,date_added,release_year,rating,description,IMDb,Genre
Abstract: The Art of Design,TV Show,United States,2019-09-25,2019,TV-14,Step inside the minds of the most innovative designers in a variety of disciplines and learn how design impacts every aspect of life.,8.4,Documentaries
Absurd Planet,TV Show,United States,2020-04-22,2020,TV-PG,"A cast of quirky critters and Mother Nature herself narrate this funny science series, which peeks into the lives of Earth’s most incredible animals.",3.8,Comedy
Abzurdah,Movie,Argentina,2016-08-25,2015,TV-MA,A disenfranchised 16-year-old girl connects to an older man on the internet and after a brief one-sided affair descends into obsession and anorexia.,5.4,Drama
Accident,Movie,Hong Kong,2018-12-01,2009,TV-MA,A contract killer skilled at staging lethal accidents fears he may be a victim of his own strategy when an accomplice dies in a mysterious mishap.,6.6,Thrillers
Across Grace Alley,Movie,United States,2016-12-01,2013,TV-PG,"A young boy, upset by his parents' divorce, becomes infatuated with his grandmother's neighbor, an entrancing dancer he watches through a window.",6.5,Drama
Action Replayy,Movie,India,2020-05-11,2010,TV-PG,"Sick of his parents’ constant squabbling, a young man travels back in time to the onset of their romance, with plans to set them up for marital bliss.",4.2,Comedy
Acts of Vengeance,Movie,Bulgaria,2018-01-25,2017,R,"Devastated by the murder of his wife and child, a formerly fast-talking lawyer takes a vow of silence and trains himself for a mission of revenge.",5.7,Action & Adventure
Ad Vitam,TV Show,France,2019-11-01,2018,TV-MA,"In a future where regeneration technology lets humans live indefinitely, a cop and a troubled young woman investigate a strange wave of youth suicides.",6.4,Crime
Adam Devine: Best Time of Our Lives,Movie,United States,2019-06-18,2019,TV-MA,"Frenetic comic Adam Devine talks teen awkwardness, celebrity encounters, his ""Pitch Perfect"" audition and more in a special from his hometown of Omaha.",5.8,Comedy
Adam Ruins Everything,TV Show,United States,2018-09-30,2018,TV-14,"Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.",8.0,Comedy
Adam: His Song Continues,Movie,United States,2011-10-01,1986,TV-MA,"After their child was abducted and murdered, John and Reve Walsh fought to raise national awareness of the problem of missing children.",7.2,Drama
Adel Karam: Live from Beirut,Movie,United States,2018-03-01,2018,TV-MA,"From Casino du Liban, Lebanese actor and comedian Adel Karam delivers earthy punchlines on kissing norms, colonoscopies and a porn star named Rocco.",5.2,Comedy
Adhugo,Movie,India,2019-01-15,2018,TV-14,A fast-footed piglet named Bunty becomes an object of desire for rival criminals that want the swift swine for their profitable animal-racing schemes.,6.0,Comedy
Aditi Mittal: Things They Wouldn't Let Me Say,Movie,India,2017-07-18,2017,TV-MA,"Trailblazing comic Aditi Mittal mixes topical stand-up with frank talk about being single, wearing thongs and the awkwardness of Indian movie ratings.",4.4,Comedy
